tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Ingleses do Rio Vermelho	60.0	3.0	2.0	1.0	220000.0
Apartamento	Centro	42.0	1.0	1.0	0.0	220000.0
Apartamento	Estreito	54.0	2.0	1.0	1.0	220000.0
Apartamento	Canasvieiras	42.0	1.0	1.0	0.0	220000.0
Apartamento	Abraão	68.0	2.0	1.0	1.0	220000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	1.0	0.0	220000.0
Apartamento	Ingleses do Rio Vermelho	58.0	1.0	1.0	1.0	220000.0
Apartamento	Cachoeira do Bom Jesus	47.0	1.0	1.0	1.0	220000.0
Apartamento	Saco Grande	63.0	3.0	1.0	1.0	220010.0
Apartamento	Ingleses do Rio Vermelho	45.0	1.0	1.0	1.0	220080.0
Apartamento	Ingleses do Rio Vermelho	64.0	2.0	1.0	1.0	223000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	223000.0
Apartamento	Centro	39.0	1.0	1.0	1.0	225000.0
Apartamento	Itacorubi	29.0	1.0	1.0	1.0	225000.0
Apartamento	Agronômica	41.0	2.0	1.0	0.0	225000.0
Apartamento	Centro	37.0	1.0	1.0	1.0	225000.0
Apartamento	Abraão	52.0	2.0	1.0	1.0	225000.0
Apartamento	Ingleses do Rio Vermelho	118.0	3.0	2.0	1.0	229000.0
Apartamento	Capoeiras	55.0	2.0	1.0	1.0	230000.0
Apartamento	Centro	37.0	1.0	1.0	0.0	230000.0
Apartamento	Capoeiras	70.0	2.0	1.0	1.0	230000.0
Apartamento	Centro	23.0	1.0	1.0	0.0	230000.0
Apartamento	Canto	63.0	2.0	1.0	1.0	230000.0
Apartamento	Abraão	52.0	2.0	1.0	1.0	230000.0
Apartamento	Jardim Atlântico	48.0	2.0	1.0	1.0	230000.0
Apartamento	Abraão	76.0	2.0	1.0	1.0	230000.0
Apartamento	Centro	65.0	1.0	1.0	1.0	230000.0
Apartamento	Canasvieiras	48.0	1.0	1.0	1.0	230000.0
Apartamento	Abraão	59.0	2.0	1.0	1.0	230000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	2.0	230000.0
Apartamento	Ingleses do Rio Vermelho	75.0	2.0	2.0	1.0	230000.0
Apartamento	Capoeiras	77.0	2.0	1.0	1.0	230000.0
Apartamento	Itacorubi	31.0	1.0	1.0	1.0	230000.0
Apartamento	Centro	43.0	1.0	1.0	0.0	230000.0
Apartamento	Ingleses do Rio Vermelho	52.0	1.0	1.0	1.0	230000.0
Apartamento	Centro	68.0	2.0	1.0	0.0	230000.0
Apartamento	Coqueiros	48.0	1.0	1.0	1.0	230000.0
